wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
13,787.5191304347827,1003.49,1.7692307692307692,0.001157733660854508,0.06946401965127048,1.6671364716304917,51825.391304347824,0x730ac5f481c738f4ed1e860a3557375102054536,usdt,normal
674,4174.105276739796,0.001,0.29080118694362017,0.0002019111508523535,0.012114669051141209,0.290752057227389,297160.4081632653,0x70012acac207b8b4842761ab86f71e57de6ed46f,usdt,normal
600,29928.81151982609,27549.040853,0.03833333333333333,2.6612743847943577e-05,0.0015967646308766145,0.03832235114103875,2254558.9565217393,0x47f036ae438d5fbcdaac2113353c00bb96b20b35,usdt,normal
184,11741.34750209859,80.0,0.3858695652173913,0.00026780325890162946,0.016068195534097766,0.3856366928183464,224045.0704225352,0x8d17945e3c092185453b00860cc18a9a80a6789c,usdt,normal
492,717.6770391229946,0.0,1.5203252032520325,0.0010540835025785588,0.06324501015471352,1.5178802437131247,56921.48663101604,0xd245059fc32df585e822ba88a7f1809c58cb887d,usdt,normal
305,65.14427783333333,121.77,0.07868852459016394,5.463050430784289e-05,0.0032778302584705733,0.07866792620329377,1098287.5,0x4722acbe4462d7dbff1df1ab6b92739f149c891d,usdt,normal
37,9064.56653104348,0.0,1.2432432432432432,0.000860340545231469,0.051620432713888144,1.2388903851333153,69739.82608695653,0x50492ee94ec0184f1763e844fcb7a3647b4fdbcc,usdt,normal
1076,2058.0967116551724,6727.520944,0.05390334572490706,3.7419881131231396e-05,0.0022451928678738835,0.053884628828973206,1603425.7241379311,0xd004306092ddbdcc966c0445d53514c5df386c79,usdt,normal
3,627.36538875,0.001,2.6666666666666665,0.0014473350942576981,0.08684010565546188,2.084162535731085,41455.5,0x406cb3e14795c6ac4e4702b3f7bb6d192b908689,usdt,normal
33,2534.518678037037,2636.0,1.6363636363636365,0.001109928101324103,0.06659568607944619,1.5982964659067085,54057.555555555555,0x015f4125d8612bb1fe48ec7bc790993abac32e73,usdt,normal
1068,1317.8412026060605,493.753915,0.03089887640449438,2.1442087137241713e-05,0.0012865252282345026,0.030876605477628067,2798235.0606060605,0xe8ceaf43304feb2ec431e922d093dfbe983e0c44,usdt,normal
750,518.8587326666667,9.0,0.008,5.549095996771166e-06,0.00033294575980626995,0.00799069823535048,10812572.0,0xab5801a7d398351b8be11c439e05c5b3259aec9b,usdt,normal
1156,16221.174426416668,10416.0984,0.04152249134948097,2.882837490456732e-05,0.001729702494274039,0.04151285986257694,2081282.7708333333,0x3a827354f1c93f417117d566e788b7c5ba873003,usdt,normal
74,840.035190364641,0.001,12.22972972972973,0.008473481280628591,0.5084088768377155,12.201813044105172,7080.914917127072,0x192e85716043753c44404d08a27855efa22d9e35,usdt,normal
44,16.404670166666666,0.022711,4.090909090909091,0.0027810652716019246,0.16686391629611547,4.004733991106771,21574.466666666667,0xc476adbe9012c49a722bf7672219380e501dcffa,usdt,normal
20,0.001,0.001,7.1,0.004743167500617948,0.2845900500370769,6.830161200889845,12649.774647887323,0xeb203a4b85d9f5408db0ada0a2da57562b1fda94,usdt,normal
1518,142918.24768262223,0.0001,0.029644268774703556,2.0581908173405045e-05,0.0012349144904043028,0.029637947769703268,2915181.6,0x69776c245634875544121c81ec5b70c540af4aca,usdt,normal
1122,24914.553436131147,2500.0,0.054367201426024955,3.7725963057252674e-05,0.0022635577834351607,0.05432538680244385,1590416.6557377048,0x854d7b77b762b2ca07b1ccc21e2a19eb1ccc34c7,usdt,normal
11,745.9746957894737,1201.38,1.7272727272727273,0.0011214467843989045,0.06728680706393426,1.6148833695344225,53502.31578947369,0xdbfc07795b957a71c8f0050753ed56f62d3c72da,usdt,normal
1331,328.5114051698114,298.936424,0.039819684447783624,2.763891108113825e-05,0.0016583346648682948,0.03980003195683908,2170852.5283018867,0xc04032bcbcce4d43ef978cc808f1d2da5c0db3c3,usdt,normal
433,48742.3889236,5235.465537,0.023094688221709007,1.600412266199773e-05,0.0009602473597198638,0.023045936633276733,3749034.0,0x4ab010562aaf2417e9bfa776ebc2579ba9c1eadf,usdt,normal
